,data_year,county_name,Total Violent Crime
388,2022,FRESNO,1.0
389,2017,FRESNO,102.0
390,2018,FRESNO,75.0
391,2019,FRESNO,61.0
392,2020,FRESNO,80.0
393,2022,FRESNO,87.0
394,2017,FRESNO,56.0
395,2018,FRESNO,54.0
396,2019,FRESNO,35.0
397,2020,FRESNO,39.0
398,2022,FRESNO,58.0
399,2017,FRESNO,23.0
400,2018,FRESNO,23.0
401,2019,FRESNO,41.0
402,2020,FRESNO,26.0
403,2022,FRESNO,40.0
404,2017,FRESNO,3816.0
405,2018,FRESNO,4145.0
406,2019,FRESNO,3066.0
407,2020,FRESNO,3515.0
408,2021,FRESNO,2376.0
409,2022,FRESNO,2812.0
410,2017,FRESNO,108.0
411,2018,FRESNO,110.0
412,2019,FRESNO,100.0
413,2020,FRESNO,120.0
414,2022,FRESNO,132.0
415,2017,FRESNO,104.0
416,2018,FRESNO,106.0
417,2019,FRESNO,71.0
418,2020,FRESNO,83.0
419,2022,FRESNO,66.0
420,2017,FRESNO,71.0
421,2018,FRESNO,62.0
422,2019,FRESNO,51.0
423,2020,FRESNO,39.0
424,2022,FRESNO,61.0
425,2017,FRESNO,110.0
426,2018,FRESNO,98.0
427,2019,FRESNO,97.0
428,2020,FRESNO,96.0
429,2022,FRESNO,104.0
430,2017,FRESNO,78.0
431,2018,FRESNO,60.0
432,2019,FRESNO,60.0
433,2020,FRESNO,61.0
