AGENCY_NAME,data_year,Aggravated Assault,All Other Offenses (Except Traffic),Arson,Burglary,Curfew and Loitering Law Violations,Disorderly Conduct,Driving Under the Influence,Drug Abuse Violations - Grand Total,Drunkenness,Embezzlement,Forgery and Counterfeiting,Fraud,Gambling - Total,Human Trafficking - Commercial Sex Acts,Human Trafficking - Involuntary Servitude,Larceny - Theft,Liquor Laws,Manslaughter by Negligence,Motor Vehicle Theft,Murder and Nonnegligent Manslaughter,Offenses Against the Family and Children,Prostitution and Commercialized Vice,Rape,Robbery,Simple Assault,"Stolen Property: Buying, Receiving, Possessing",Suspicion,Vagrancy,Vandalism,"Weapons: Carrying, Possessing, Etc.","Sex Offenses (Except Rape, and Prostitution and Commercialized Vice)"
Auburn Police Department,2018,43,109,2,10,0,3,82,68,68,1,5,3,0,0,0,7,7,0,1,0,0,11,1,8,41,2,0,1,6,3,3
Auburn Police Department,2019,40,53,1,11,0,0,76,49,67,1,3,5,0,0,0,8,3,0,2,0,0,5,0,5,33,7,0,1,8,2,8
Auburn Police Department,2020,11,65,0,5,0,1,50,45,33,1,0,0,0,0,0,4,2,0,1,0,4,2,2,3,26,3,0,3,4,3,7
Auburn Police Department,2021,1,4,0,0,0,5,17,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Auburn Police Department,2022,26,64,3,11,1,34,107,23,0,2,2,3,0,0,0,7,3,0,0,0,1,0,5,2,63,1,0,0,16,10,2
Azusa Police Department,2017,99,231,5,84,0,3,82,331,268,3,7,19,2,0,0,37,0,0,27,1,0,0,2,15,90,30,0,4,22,16,8
Azusa Police Department,2018,79,212,2,79,0,1,82,268,193,0,3,4,0,0,0,36,2,0,20,0,0,1,4,17,89,13,0,1,14,15,8
Azusa Police Department,2019,98,209,2,110,0,0,71,267,198,0,10,9,0,0,0,27,0,0,24,2,1,1,11,14,85,8,0,1,16,48,9
Azusa Police Department,2020,103,131,1,33,0,1,81,208,130,0,6,6,0,0,0,23,0,0,20,2,0,0,4,20,63,15,0,0,35,35,6
Azusa Police Department,2022,62,213,4,25,4,1,50,181,142,1,0,3,0,0,0,29,0,1,49,2,0,0,3,4,114,8,0,0,36,52,9
BART Police Department,2017,43,149,0,16,0,7,2,87,66,0,0,3,0,0,0,17,1,0,4,0,0,0,1,27,146,7,0,5,13,18,20
BART Police Department,2018,73,154,2,15,0,10,3,169,63,0,0,7,0,0,0,21,0,0,4,2,0,0,1,41,164,5,0,1,19,19,10
BART Police Department,2019,46,191,2,21,0,10,5,236,72,0,2,7,0,0,0,29,4,0,6,2,0,0,1,55,214,5,0,2,17,30,19
BART Police Department,2020,51,195,0,22,0,6,2,248,27,0,0,3,0,0,0,16,0,0,3,1,0,0,0,46,133,3,0,0,10,14,25
BART Police Department,2022,62,175,0,4,0,9,1,386,40,0,0,12,0,0,0,10,0,0,4,1,0,0,1,29,194,12,0,0,13,43,25
Bakersfield Police Department,2017,1027,3866,12,723,0,15,990,3980,1636,13,47,75,14,0,0,506,39,3,123,43,2,185,51,294,1582,635,0,25,359,440,137
Bakersfield Police Department,2018,971,2441,5,621,0,13,888,2972,982,7,31,65,26,0,0,417,34,2,104,57,3,180,36,373,1409,541,0,20,352,389,109
Bakersfield Police Department,2019,901,2560,9,628,0,21,886,3233,939,11,32,86,11,0,0,385,16,4,120,38,1,96,36,240,1516,592,0,34,382,490,91
Bakersfield Police Department,2020,870,1203,10,521,0,28,743,1949,460,11,13,50,10,0,0,168,8,4,116,50,5,24,21,218,1192,581,0,15,295,495,66
Bakersfield Police Department,2022,1211,1325,11,546,0,210,768,1383,319,6,10,75,0,3,0,264,4,12,194,54,4,23,22,291,1073,904,0,8,336,705,69
Baldwin Park Police Department,2017,151,447,3,87,0,3,78,417,66,4,8,7,0,0,0,40,0,1,50,1,1,0,3,20,104,13,0,16,43,48,7
Baldwin Park Police Department,2018,127,486,0,114,0,3,90,403,73,1,2,6,0,0,0,50,6,0,42,1,0,0,5,15,121,17,0,45,33,54,16
Baldwin Park Police Department,2019,101,387,1,85,0,0,119,331,66,0,4,0,1,0,0,35,0,1,45,0,1,0,3,18,85,12,0,1,20,47,12
Baldwin Park Police Department,2020,99,184,1,49,0,0,65,135,43,0,3,2,1,0,0,8,1,0,27,1,1,0,1,22,72,4,0,0,23,21,9
Baldwin Park Police Department,2021,60,179,4,17,0,20,53,38,0,0,2,4,0,0,0,48,0,0,6,1,0,0,2,13,62,2,0,2,34,20,2
Baldwin Park Police Department,2022,107,272,7,19,0,34,91,57,0,2,1,6,10,0,0,17,0,0,20,1,2,0,5,24,71,18,0,0,43,65,2
Banning Police Department,2017,77,879,0,32,0,1,43,211,91,0,2,2,0,0,0,13,0,1,7,0,0,0,0,4,63,28,0,7,8,31,4
Banning Police Department,2018,74,727,1,13,0,1,26,150,43,0,1,3,0,0,0,12,0,0,5,4,0,0,2,10,59,28,0,8,12,24,10
Banning Police Department,2019,60,490,1,23,0,1,37,111,51,0,4,5,0,0,0,7,0,1,8,3,0,0,1,5,40,27,0,5,11,18,7
Banning Police Department,2020,50,539,0,29,0,2,32,94,26,0,1,4,0,0,0,6,0,0,4,5,0,0,1,12,51,22,0,5,10,24,4
Banning Police Department,2022,44,215,1,6,0,69,17,64,3,0,0,5,0,0,0,11,1,0,4,1,0,0,0,3,59,14,0,1,11,33,1
Bear Valley Police Department,2017,2,18,0,2,0,0,3,4,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,6,0,0,0,0,0,1
Bear Valley Police Department,2018,7,19,0,1,0,0,6,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,3,0
Bear Valley Police Department,2019,7,12,0,0,0,0,1,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0
Bear Valley Police Department,2020,4,18,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bear Valley Police Department,2022,0,6,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0
Beaumont Police Department,2017,91,520,1,29,0,5,62,241,26,0,8,5,0,0,0,33,0,0,2,1,1,0,2,13,65,48,0,8,20,28,7
Beaumont Police Department,2018,60,446,0,36,0,1,44,238,30,2,4,4,0,0,0,31,0,0,1,0,0,0,2,10,64,30,0,3,14,19,2
Beaumont Police Department,2019,44,256,1,40,0,0,39,172,23,1,6,5,0,0,0,28,0,0,5,0,5,0,1,6,57,23,0,1,10,15,4
Beaumont Police Department,2020,56,219,0,33,0,1,38,177,10,0,5,1,0,0,0,13,0,0,3,0,1,0,0,2,40,28,0,0,12,17,4
Beaumont Police Department,2021,79,179,2,15,0,8,53,156,0,0,7,6,0,0,0,38,0,0,6,0,0,0,2,7,32,35,0,0,14,29,0
Beaumont Police Department,2022,67,115,0,11,0,9,55,84,0,0,4,4,0,0,0,43,0,0,3,1,0,0,0,7,29,28,0,1,11,29,3
Bell Gardens Police Department,2017,78,524,5,30,0,0,57,169,68,0,2,0,0,0,0,18,2,0,23,3,0,0,0,11,77,10,0,0,16,37,8
Bell Gardens Police Department,2018,77,447,1,23,0,0,87,282,60,0,4,0,0,0,0,22,6,1,42,2,0,0,2,12,60,11,0,0,22,44,13
Bell Gardens Police Department,2019,69,472,4,35,0,0,82,325,41,1,4,2,0,0,0,34,1,0,36,0,1,0,1,23,71,7,0,0,25,58,11
Bell Gardens Police Department,2020,64,290,2,28,0,0,56,241,8,1,0,2,0,0,0,8,0,0,55,0,1,0,2,14,102,6,0,0,42,64,6
Bell Gardens Police Department,2022,51,293,2,7,0,25,41,114,2,0,1,2,0,0,0,16,0,0,20,2,0,0,1,19,112,8,0,0,29,56,1
Bell Police Department,2017,90,208,2,28,0,0,71,152,67,0,4,7,0,0,0,6,0,0,15,0,0,0,4,10,64,21,0,0,26,18,13
Bell Police Department,2018,76,203,3,26,0,1,100,152,44,0,4,4,0,0,0,17,1,0,11,0,1,0,1,11,73,12,0,1,34,18,8
Bell Police Department,2019,79,166,1,21,0,1,120,156,55,0,2,1,0,0,0,16,7,0,18,0,1,1,1,14,96,7,0,0,28,26,9
Bell Police Department,2020,76,227,1,28,0,1,89,115,34,0,5,4,0,0,0,19,0,0,18,2,0,0,1,16,76,5,0,0,22,31,8
Bell Police Department,2022,52,172,1,13,0,26,44,51,6,2,0,4,0,0,0,18,1,0,2,1,0,0,3,7,61,9,0,0,26,17,8
Belmont Police Department,2017,19,36,1,12,0,1,37,31,39,0,0,0,0,0,0,9,3,0,1,1,0,0,0,3,19,3,0,0,2,3,0
Belmont Police Department,2018,20,44,0,16,0,0,32,36,39,0,0,0,0,0,0,5,0,0,0,0,0,1,0,4,18,3,0,1,2,4,3
Belmont Police Department,2019,15,36,0,8,0,0,25,59,35,0,0,0,0,0,0,11,0,0,5,0,0,1,1,2,16,2,0,2,1,9,2
Belmont Police Department,2020,18,23,0,12,0,0,16,83,23,0,1,0,0,0,0,17,1,0,3,0,0,0,2,4,10,5,0,0,5,1,5
